"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","f_strike_percent"
"Rodríguez, Julio",677594,2024,23,567,613,155,118,17,0,20,156,38,25.4,6.2,".273",".409",".325","0.734",".321",".344",6.1,48.4,"103.553687536","96.325344116",74.7,21.2,37.3,47,53,54.5,78.8,45.5,30.9,54.3,61.8
"Arcia, Orlando",606115,2024,29,551,602,120,79,24,0,17,128,41,21.3,6.8,".218",".354",".271","0.625",".273",".261",6.5,37.8,"98.41985743","93.283896472",70.8,17.7,27.6,49.4,50.6,50.1,82.3,49.9,26.6,49.1,64.5
"Suzuki, Seiya",673548,2024,29,512,585,145,91,27,6,21,160,63,27.4,10.8,".283",".482",".366","0.848",".365",".346",10.1,49.2,"102.565369326","95.834191408",59.6,16.6,20.7,46.1,53.9,51.4,83.4,48.6,24.5,39.6,57.5
"Harper, Bryce",547180,2024,31,550,631,157,85,42,0,30,138,76,21.9,12,".285",".525",".373","0.898",".380",".356",9.6,48.2,"102.531835097","95.63882949",78.2,14.9,33.4,47.6,52.4,56.7,85.1,43.3,26.7,52.9,62.6
"Arozarena, Randy",668227,2024,29,549,648,120,67,33,0,20,169,73,26.1,11.3,".219",".388",".332","0.720",".320",".321",7,43.5,"100.904108177","94.731331384",59.5,25,24.3,40,60,52.7,75,47.3,29.7,41,62.5
"Turner, Justin",457759,2024,39,460,539,119,84,24,0,11,95,59,17.6,10.9,".259",".383",".354","0.737",".327",".328",6.7,32.5,"96.702342312","92.434680753",65.7,11.5,25.1,31.3,68.7,49.9,88.5,50.1,17,45.4,57.7
"Witt Jr., Bobby",677951,2024,24,636,709,211,123,45,11,32,106,57,15,8,".332",".588",".389","0.977",".410",".408",5.6,48.3,"103.972880446","96.499868141",72.3,15.2,32.1,36.7,63.3,52.6,84.8,47.4,22.3,51.2,62
"Vierling, Matt",663837,2024,27,518,567,133,84,28,5,16,121,41,21.3,7.2,".257",".423",".312","0.735",".317",".310",5.5,40.9,"100.235830606","94.344722247",62.1,12.8,22,39.5,60.5,48.1,87.2,51.9,19.5,42.8,57.8
"Winker, Jesse",608385,2024,30,430,508,109,72,23,0,14,106,63,20.9,12.4,".253",".405",".360","0.765",".338",".329",3.3,37.4,"98.91091179","93.570274815",64.7,15,19,37.5,62.5,47,85,53,19.6,43.2,61.9
"Carroll, Corbin",682998,2024,23,589,684,136,78,22,14,22,130,73,19,10.7,".231",".428",".322","0.750",".325",".325",7,40.8,"101.055665665","94.755672366",59.8,13,24.9,36.1,63.9,52.8,87,47.2,20.3,41.4,56.4
