"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","pitch_count","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","batted_ball","f_strike_percent","n"
"Myers, Tobias",668964,2024,569,22.3,6.3,".297",".317",36.4,8,38.7,"79.298209695","94.361623995",69.8,15.4,28.6,36.1,63.9,49,2152,84.6,51,21.3,49.6,401,67.1,"2152"
"Pfaadt, Brandon",694297,2024,760,24.3,5.5,".312",".301",33,8.1,39.4,"78.684914866","94.224942476",67,17.1,29.6,46.4,53.6,47.5,2793,82.9,52.5,25.4,49.3,528,70.7,"2792"
"Gilbert, Logan",669302,2024,803,27.4,4.6,".255",".276",33,7.2,39.3,"78.976067127","94.386132799",70.3,20.4,29.9,58.7,41.3,49.4,3042,79.6,50.6,31.7,50.4,542,67.9,"3041"
"Pepiot, Ryan",686752,2024,539,26.3,8.9,".290",".296",31.4,9.1,37.2,"79.441531647","93.814038824",68.1,22.5,28.5,46.9,53.1,50.8,2149,77.5,49.2,29.9,48,341,66,"2149"
"Gallen, Zac",668678,2024,621,25.1,8.7,".301",".308",34.9,7.4,41,"79.81895601","94.40298237",63.8,14,29.7,45.2,54.8,57.5,2506,86,42.5,26,44.2,407,58.8,"2506"
"Lugo, Seth",607625,2024,836,21.7,5.7,".278",".300",32.8,8,39,"77.299278949","93.994017356",65.1,13.9,27.9,42.7,57.3,49.6,3112,86.1,50.4,22.5,46.7,598,64.4,"3112"
"Manaea, Sean",640455,2024,738,24.9,8.5,".275",".299",37,7.5,37.8,"77.674456946","93.857812243",68.6,19,28.6,43.9,56.1,48.9,2996,81,51.1,26.1,49,481,59.8,"2996"
"Eflin, Zach",621107,2024,684,19.6,3.5,".297",".297",30,7.5,36.1,"76.388751434","94.040596667",65.6,14.4,32.6,37.7,62.3,47.3,2447,85.6,52.7,21.6,50,523,66.5,"2447"
"Ober, Bailey",641927,2024,709,26.9,6.1,".282",".279",34.8,8.3,34.3,"76.699154464","93.270078151",71.5,22.9,33.5,41.7,58.3,50.2,2696,77.1,49.8,29,52.4,469,67.4,"2696"
"Heaney, Andrew",571760,2024,693,22.9,5.9,".312",".325",37.4,8.3,40.1,"78.990582236","94.388347616",70.1,17.9,30.5,45.8,54.2,50,2731,82.1,50,26.3,50.3,481,63.6,"2731"
"Quantrill, Cal",615698,2024,656,16.8,10.5,".358",".351",37.1,7.3,41.2,"77.92321026","94.354738243",69.7,16.7,24.1,34.4,65.6,52.5,2643,83.3,47.5,21.6,45.7,466,62.7,"2643"
"Wheeler, Zack",554430,2024,787,28.5,6.6,".256",".261",32.6,8.3,33.6,"74.93491968","93.046728036",69.1,21.4,33.8,39.7,60.3,50.6,3134,78.6,49.4,27.5,51.2,503,64,"3134"
"Corbin, Patrick",571578,2024,764,18.2,7.1,".357",".357",37.3,8.3,46.7,"79.877843129","95.30570991",69.1,12.6,29.8,42.5,57.8,53.1,2888,87.4,46.9,22.4,48.2,568,65.4,"2888"
"Arrighetti, Spencer",681293,2024,632,27.1,10.3,".332",".312",38.3,7.7,39.8,"77.934348615","94.124621851",66.7,18.9,26.9,50.3,49.7,49.1,2505,81.1,50.9,27.7,47.2,389,61.9,"2505"
"Bassitt, Chris",605135,2024,758,22.2,9.2,".331",".327",36.3,7.5,37.1,"75.64419492","94.077816493",65.4,17,24.6,34.2,65.8,49.9,2959,83,50.1,21.7,45,504,62.4,"2959"
